"rho","r2","N","k","model",".Rep","er2","aer2","bias","rmse","abias","armse","power","n_ok","n_fail","model_label","power_adjr2","power_gap"
0.3,0.18,120,3,"gaussian",1000,0.197539672520878,0.176786388189522,0.0175396725208784,0.0645340316480448,-0.00321361181047824,0.0637919135156664,0.991,1000,0,"Gaussian",0.993114394638861,0.00211439463886065
0.3,0.21,120,3,"gaussian",1000,0.22931116180839,0.209379553924125,0.0193111618083905,0.0686764659133746,-0.000620446075875383,0.0676128077201253,0.997,1000,0,"Gaussian",0.998646037563756,0.00164603756375614
0.3,0.24,120,3,"gaussian",1000,0.257864886418399,0.23867173692922,0.0178648864183994,0.0702081684562378,-0.00132826307078005,0.0696658482234804,1,1000,0,"Gaussian",0.999744372674235,0.000255627325764562
0.3,0.27,120,3,"gaussian",1000,0.283236634193522,0.264699650595079,0.0132366341935221,0.0702575881433566,-0.00530034940492139,0.0709820592091552,0.999,1000,0,"Gaussian",0.999951284993248,0.000951284993248258
0.3,0.3,120,3,"gaussian",1000,0.31547207646652,0.297768768099274,0.0154720764665197,0.0704552368052308,-0.00223123190072551,0.0705483322886548,0.999,1000,0,"Gaussian",0.999995441924124,0.000995441924123597
0.3,0.03,30,5,"gaussian",1000,0.195293579232572,0.0276464082393579,0.165293579232572,0.19515198087444,-0.00235359176064215,0.125376577164527,0.081,1000,0,"Gaussian",0.0823008843149788,0.00130088431497878
0.3,0.06,30,5,"gaussian",1000,0.219652014583037,0.0570795176211697,0.159652014583037,0.193334634097622,-0.00292048237883026,0.1317878854474,0.122,1000,0,"Gaussian",0.12470445537928,0.00270445537927981
0.3,0.09,30,5,"gaussian",1000,0.242346356049939,0.0845018468936768,0.152346356049939,0.191309927761807,-0.00549815310632319,0.139930950441442,0.176,1000,0,"Gaussian",0.171601521693972,0.0043984783060276
0.3,0.12,30,5,"gaussian",1000,0.26975748289285,0.117623625162193,0.14975748289285,0.192718362484869,-0.00237637483780655,0.146586976537166,0.254,1000,0,"Gaussian",0.237251192977571,0.0167488070224289
0.3,0.15,30,5,"gaussian",1000,0.288825369630336,0.140663988303322,0.138825369630336,0.185694636536588,-0.00933601169667774,0.149314563764534,0.298,1000,0,"Gaussian",0.288156136478906,0.00984386352109368
0.3,0.18,30,5,"gaussian",1000,0.317915734500783,0.175814845855112,0.137915734500783,0.19092673151682,-0.00418515414488762,0.159592718778548,0.391,1000,0,"Gaussian",0.372589633331711,0.0184103666682885
0.3,0.21,30,5,"gaussian",1000,0.3339970012932,0.195246376562616,0.1239970012932,0.182666780275971,-0.0147536234373836,0.162748540455308,0.443,1000,0,"Gaussian",0.421905465524803,0.0210945344751971
0.3,0.24,30,5,"gaussian",1000,0.35827953634352,0.224587773081754,0.11827953634352,0.176409662495968,-0.0154122269182464,0.158899320289418,0.491,1000,0,"Gaussian",0.498405465635514,0.0074054656355142
0.3,0.27,30,5,"gaussian",1000,0.384813952535743,0.256650192647356,0.114813952535743,0.177893366709432,-0.0133498073526436,0.164732075351855,0.587,1000,0,"Gaussian",0.582483133033035,0.00451686696696474
0.3,0.3,30,5,"gaussian",1000,0.404772726357751,0.280767044348949,0.104772726357751,0.167180482771001,-0.0192329556510505,0.158588114481777,0.653,1000,0,"Gaussian",0.644265104669754,0.00873489533024563
0.3,0.03,60,5,"gaussian",1000,0.111581816350409,0.0293208734198909,0.0815818163504086,0.102700945807404,-0.000679126580109053,0.0681648008176571,0.145,1000,0,"Gaussian",0.135089473764369,0.00991052623563121
0.3,0.06,60,5,"gaussian",1000,0.137994887719419,0.0581795995452913,0.0779948877194191,0.105604608513678,-0.00182040045470868,0.0778115174284359,0.256,1000,0,"Gaussian",0.246630200631364,0.00936979936863608
0.3,0.09,60,5,"gaussian",1000,0.165960888092204,0.0887350443970374,0.0759608880922037,0.107531065943654,-0.00126495560296255,0.0831678583645954,0.388,1000,0,"Gaussian",0.382906700752336,0.00509329924766377
0.3,0.12,60,5,"gaussian",1000,0.191058678356614,0.116156704130374,0.0710586783566136,0.10958996232924,-0.00384329586962585,0.0912363720621161,0.5,1000,0,"Gaussian",0.509221745201149,0.0092217452011486
0.3,0.15,60,5,"gaussian",1000,0.217341418495853,0.144873031319543,0.0673414184958527,0.111596385116056,-0.00512696868045717,0.0973628496392571,0.63,1000,0,"Gaussian",0.634242526429802,0.00424252642980183
0.3,0.18,60,5,"gaussian",1000,0.240818469348123,0.170523883176653,0.0608184693481231,0.109230652919148,-0.00947611682334694,0.0995859114017474,0.716,1000,0,"Gaussian",0.732481656659578,0.0164816566595778
0.3,0.21,60,5,"gaussian",1000,0.2696953313342,0.202074528679959,0.0596953313341997,0.111803523375935,-0.00792547132004106,0.103589724025816,0.817,1000,0,"Gaussian",0.830247580648732,0.0132475806487318
0.3,0.24,60,5,"gaussian",1000,0.302058458841712,0.237434242067797,0.0620584588417122,0.114013234777266,-0.0025657579322033,0.104531365991746,0.899,1000,0,"Gaussian",0.907816332213862,0.00881633221386213
0.3,0.27,60,5,"gaussian",1000,0.327843775687594,0.26560708825126,0.057843775687594,0.113365355822465,-0.00439291174873984,0.10661580431174,0.924,1000,0,"Gaussian",0.947921213768318,0.0239212137683179
0.3,0.3,60,5,"gaussian",1000,0.35000614021434,0.289821523567519,0.0500061402143396,0.110623086176402,-0.0101784764324808,0.108291519942582,0.956,1000,0,"Gaussian",0.970170588097353,0.0141705880973526
0.3,0.03,90,5,"gaussian",1000,0.0826930583337317,0.0280914546631205,0.0526930583337317,0.0688883601446731,-0.00190854533687952,0.0470539824248737,0.193,1000,0,"Gaussian",0.184963831638832,0.0080361683611683
0.3,0.06,90,5,"gaussian",1000,0.110573209644496,0.0576311387900014,0.0505732096444957,0.0752783942922416,-0.00236886120999862,0.0591266103437466,0.38,1000,0,"Gaussian",0.373884143560058,0.00611585643994184
0.3,0.09,90,5,"gaussian",1000,0.140408406992075,0.0892422407416028,0.0504084069920745,0.080597205346014,-0.000757759258397245,0.0666356543541224,0.569,1000,0,"Gaussian",0.580477662642051,0.0114776626420506
0.3,0.12,90,5,"gaussian",1000,0.162677430729807,0.112836801606582,0.0426774307298073,0.079370392372431,-0.00716319839341842,0.0712643316727544,0.718,1000,0,"Gaussian",0.712965807369183,0.00503419263081706
0.3,0.15,90,5,"gaussian",1000,0.194392935366254,0.146440133899959,0.0443929353662535,0.0828393663383796,-0.00355986610004093,0.0741887367124185,0.85,1000,0,"Gaussian",0.852007379159013,0.00200737915901306
0.3,0.18,90,5,"gaussian",1000,0.224379773617382,0.178211902999369,0.044379773617382,0.0856868186605229,-0.00178809700063102,0.0776820626024849,0.93,1000,0,"Gaussian",0.931033297261613,0.0010332972616125
0.3,0.21,90,5,"gaussian",1000,0.253264875692881,0.208816356388885,0.0432648756928806,0.0891587821431114,-0.00118364361111462,0.0826067641994525,0.958,1000,0,"Gaussian",0.971091470799427,0.013091470799427
0.3,0.24,90,5,"gaussian",1000,0.282577956389893,0.239874263317862,0.0425779563898925,0.0900756272419625,-0.000125736682137687,0.0841021031170641,0.987,1000,0,"Gaussian",0.989652144427853,0.00265214442785322
0.3,0.27,90,5,"gaussian",1000,0.303595849672935,0.262143221677277,0.0335958496729354,0.0853888528655342,-0.00785677832272326,0.0835450684055814,0.998,1000,0,"Gaussian",0.995505879340414,0.00249412065958565
0.3,0.3,90,5,"gaussian",1000,0.332758410316536,0.293041649025854,0.0327584103165359,0.0844516835815206,-0.00695835097414649,0.0827657288462035,0.998,1000,0,"Gaussian",0.998781039201402,0.000781039201401934
0.3,0.03,120,5,"gaussian",1000,0.0691951033074926,0.0283703271367686,0.0391951033074925,0.0546238046985901,-0.00162967286323138,0.039748186072053,0.237,1000,0,"Gaussian",0.245609068480381,0.00860906848038132
0.3,0.06,120,5,"gaussian",1000,0.0991956814000253,0.0596867200579213,0.0391956814000253,0.0593092909311235,-0.000313279942078743,0.0464650132703777,0.532,1000,0,"Gaussian",0.517555967166276,0.014444032833724
0.3,0.09,120,5,"gaussian",1000,0.128836557531873,0.0906276346166048,0.0388365575318734,0.0641810732996497,0.000627634616604778,0.053342080787014,0.742,1000,0,"Gaussian",0.743380981545547,0.00138098154554711
0.3,0.12,120,5,"gaussian",1000,0.15511995412077,0.118063811757646,0.0351199541207699,0.0671448983770413,-0.00193618824235411,0.0597692068825824,0.863,1000,0,"Gaussian",0.874138205849548,0.0111382058495484
0.3,0.15,120,5,"gaussian",1000,0.184675166267845,0.148915305139242,0.0346751662678449,0.0697393296561849,-0.00108469486075837,0.0631710769398844,0.949,1000,0,"Gaussian",0.952367040967708,0.00336704096770846
0.3,0.18,120,5,"gaussian",1000,0.213047621391295,0.178532166189159,0.0330476213912955,0.0709558195965133,-0.00146783381084064,0.0655603724367348,0.985,1000,0,"Gaussian",0.984244566697702,0.000755433302297548
0.3,0.21,120,5,"gaussian",1000,0.240210473773523,0.206886371746046,0.0302104737735226,0.0744673698755853,-0.00311362825395441,0.0711175194989129,0.991,1000,0,"Gaussian",0.995374804926864,0.00437480492686393
0.3,0.24,120,5,"gaussian",1000,0.267183106049506,0.235042014209572,0.0271831060495055,0.0733427681456343,-0.00495798579042836,0.0712796389150311,0.997,1000,0,"Gaussian",0.998846148225982,0.00184614822598173
0.3,0.27,120,5,"gaussian",1000,0.296602421478411,0.265751650490622,0.0266024214784112,0.0723732143947146,-0.00424834950937774,0.0703870853114836,1,1000,0,"Gaussian",0.999794357530341,0.000205642469659373
0.3,0.3,120,5,"gaussian",1000,0.327769968022424,0.298286194690074,0.0277699680224238,0.073398751200645,-0.00171380530992601,0.0709433086691422,1,1000,0,"Gaussian",0.999974582252893,2.54177471068484e-05
0.3,0.03,30,3,"logistic",1000,0.11387453341997,0.0398961284297923,0.08387453341997,0.123406010638299,0.00989612842979227,0.0909276064278508,0.171,1000,0,"Logistic",0.165245892141682,0.00575410785831809
0.3,0.06,30,3,"logistic",1000,0.146413489305986,0.0721552416937403,0.0864134893059857,0.138319103642688,0.0121552416937403,0.108593224082027,0.263,1000,0,"Logistic",0.27471102050711,0.01171102050711
0.3,0.09,30,3,"logistic",1000,0.17449828919848,0.100485777160972,0.0844982891984804,0.145323762325993,0.0104857771609717,0.118689036239022,0.353707414829659,998,2,"Logistic",0.373438913614223,0.0197314987845632
0.3,0.12,30,3,"logistic",1000,0.214046833102042,0.140055388211903,0.0940468331020417,0.155997489370289,0.0200553882119026,0.125995335814903,0.503,1000,0,"Logistic",0.504884571494418,0.00188457149441768
0.3,0.15,30,3,"logistic",1000,0.234071477971239,0.159900160678901,0.0840714779712386,0.153906240273943,0.00990016067890067,0.129337917962823,0.585095669687815,993,7,"Logistic",0.565328284037002,0.0197673856508124
0.3,0.18,30,3,"logistic",1000,0.258865928789709,0.18479729137075,0.0788659287897093,0.159459380643537,0.00479729137074967,0.138593320570934,0.63963963963964,999,1,"Logistic",0.634607176662657,0.0050324629769829
0.3,0.21,30,3,"logistic",1000,0.292323448466564,0.218317669977699,0.0823234484665641,0.164241137692473,0.00831766997769947,0.142453400858227,0.74167507568113,991,9,"Logistic",0.715482929183499,0.0261921464976309
0.3,0.24,30,3,"logistic",1000,0.331830522208797,0.257649264086254,0.0918305222087966,0.172383397637971,0.0176492640862543,0.147178570093133,0.822874493927126,988,12,"Logistic",0.792373851555716,0.0305006423714091
0.3,0.27,30,3,"logistic",1000,0.354732337754204,0.280697327243442,0.084732337754204,0.169382539508011,0.0106973272434423,0.147057750641266,0.861788617886179,984,16,"Logistic",0.829045512646121,0.0327431052400583
0.3,0.3,30,3,"logistic",1000,0.397712306019507,0.323631476503922,0.097712306019507,0.178477983916157,0.0236314765039218,0.151262302702295,0.918807810894142,973,27,"Logistic",0.883001280920987,0.0358065299731553
0.3,0.03,60,3,"logistic",1000,0.0694560871187411,0.03294315976098,0.0394560871187411,0.0637096176271534,0.00294315976098005,0.0500910823372125,0.252,1000,0,"Logistic",0.252923514450778,0.000923514450778373
0.3,0.06,60,3,"logistic",1000,0.0991807908032739,0.0626743344675624,0.0391807908032739,0.0703073909910616,0.00267433446756237,0.0584223595191548,0.458,1000,0,"Logistic",0.457476654847496,0.000523345152504018
0.3,0.09,60,3,"logistic",1000,0.131648741982978,0.0950988536511147,0.0416487419829779,0.0841929684786084,0.00509885365111467,0.0733432994064455,0.639,1000,0,"Logistic",0.648610435148404,0.00961043514840443
0.3,0.12,60,3,"logistic",1000,0.161222697200823,0.124708910673025,0.0412226972008226,0.0889884066166459,0.00470891067302527,0.0789885579383359,0.79,1000,0,"Logistic",0.777825592896966,0.0121744071030339
0.3,0.15,60,3,"logistic",1000,0.191635483122277,0.155127882023576,0.0416354831222769,0.0938765413041664,0.00512788202357635,0.0842785054979986,0.879,1000,0,"Logistic",0.868027861979206,0.0109721380207941
0.3,0.18,60,3,"logistic",1000,0.213394015874004,0.176871327381652,0.0333940158740045,0.0934614123049425,-0.00312867261834823,0.0873180318714107,0.93,1000,0,"Logistic",0.911411503458081,0.0185884965419187
0.3,0.21,60,3,"logistic",1000,0.248217941668802,0.211687898971399,0.0382179416688019,0.104028054020844,0.00168789897139883,0.0967294061210898,0.97,1000,0,"Logistic",0.954992228798253,0.0150077712017472
